path,top_dir,ext,size_bytes,mtime_local,review_status,notes
explore_deep.ps1,explore_deep.ps1,.ps1,35133,2026-01-08 03:48:33,indexed,noncore_indexed
explore_dom_mapping.js,explore_dom_mapping.js,.js,11470,2026-01-08 06:45:38,indexed,noncore_indexed
explore_dom_names.js,explore_dom_names.js,.js,12831,2026-01-08 06:31:05,indexed,noncore_indexed
explore_full_api.js,explore_full_api.js,.js,12652,2026-01-08 08:41:49,indexed,noncore_indexed
explore_full_members.js,explore_full_members.js,.js,18818,2026-01-08 03:48:33,indexed,noncore_indexed
explore_group_data.ps1,explore_group_data.ps1,.ps1,11128,2026-01-07 19:22:33,indexed,noncore_indexed
explore_image_upload.ps1,explore_image_upload.ps1,.ps1,19158,2026-01-08 02:52:28,indexed,noncore_indexed
explore_mapping.js,explore_mapping.js,.js,11782,2026-01-08 06:31:05,indexed,noncore_indexed
explore_member_click.js,explore_member_click.js,.js,9738,2026-01-08 06:45:38,indexed,noncore_indexed
explore_message_content.js,explore_message_content.js,.js,11558,2026-01-08 07:38:58,indexed,noncore_indexed
explore_message_events.ps1,explore_message_events.ps1,.ps1,5041,2026-01-07 19:22:33,indexed,noncore_indexed
explore_more.js,explore_more.js,.js,11571,2026-01-08 07:38:58,indexed,noncore_indexed
explore_nickname.js,explore_nickname.js,.js,12456,2026-01-08 06:31:05,indexed,noncore_indexed
explore_nickname2.js,explore_nickname2.js,.js,10801,2026-01-08 06:31:05,indexed,noncore_indexed
explore_runtime.js,explore_runtime.js,.js,10139,2026-01-08 19:58:38,indexed,noncore_indexed
explore_sdk_store.ps1,explore_sdk_store.ps1,.ps1,4439,2026-01-07 19:22:33,indexed,noncore_indexed
explore_team_members.ps1,explore_team_members.ps1,.ps1,10103,2026-01-08 03:30:00,indexed,noncore_indexed
explore_v3.js,explore_v3.js,.js,5570,2026-01-08 07:31:31,indexed,noncore_indexed
explore_window.js,explore_window.js,.js,24889,2026-01-08 03:48:33,indexed,noncore_indexed
explore_wsl_autoreply.ps1,explore_wsl_autoreply.ps1,.ps1,5024,2026-01-07 19:22:33,indexed,noncore_indexed
extract_all_nim_methods.js,extract_all_nim_methods.js,.js,21393,2026-01-08 09:27:10,indexed,noncore_indexed
extract_api_params.js,extract_api_params.js,.js,18000,2026-01-09 04:10:13,indexed,noncore_indexed
extract_big_group.js,extract_big_group.js,.js,5911,2026-01-08 08:31:57,indexed,noncore_indexed
extract_group_settings.js,extract_group_settings.js,.js,19969,2026-01-08 09:16:12,indexed,noncore_indexed
extract_managestate.js,extract_managestate.js,.js,7309,2026-01-08 08:31:57,indexed,noncore_indexed
extract_members.js,extract_members.js,.js,5219,2026-01-08 08:31:57,indexed,noncore_indexed
extract_pinia_decrypt.js,extract_pinia_decrypt.js,.js,10741,2026-01-08 07:35:36,indexed,noncore_indexed
extract_runtime_names.js,extract_runtime_names.js,.js,15603,2026-01-08 07:12:09,indexed,noncore_indexed
extract_wangshangliao_api.js,extract_wangshangliao_api.js,.js,6775,2026-01-08 07:32:00,indexed,noncore_indexed
FIELD_VERIFICATION_REPORT.md,FIELD_VERIFICATION_REPORT.md,.md,5587,2026-01-08 03:58:07,indexed,noncore_indexed
final_decrypt_test.js,final_decrypt_test.js,.js,6503,2026-01-08 07:12:09,deleted,deleted_test_files
final_send_test.js,final_send_test.js,.js,8494,2026-01-09 07:15:31,deleted,deleted_test_files
find_account_apis.js,find_account_apis.js,.js,14413,2026-01-09 06:13:46,indexed,noncore_indexed
find_and_kick_logo.js,find_and_kick_logo.js,.js,6696,2026-01-09 02:47:03,indexed,noncore_indexed
find_custom_msg_builder.js,find_custom_msg_builder.js,.js,8391,2026-01-09 07:18:36,indexed,noncore_indexed
find_decrypt_in_app.js,find_decrypt_in_app.js,.js,10852,2026-01-08 06:53:50,indexed,noncore_indexed
find_decrypt_key.js,find_decrypt_key.js,.js,10953,2026-01-08 09:27:10,indexed,noncore_indexed
find_encrypt_logic.js,find_encrypt_logic.js,.js,10745,2026-01-09 07:17:53,indexed,noncore_indexed
find_logo_from_dom.js,find_logo_from_dom.js,.js,8821,2026-01-09 03:55:10,indexed,noncore_indexed
find_logo_in_group.js,find_logo_in_group.js,.js,6137,2026-01-09 06:44:37,indexed,noncore_indexed
find_logo_member.js,find_logo_member.js,.js,8589,2026-01-09 06:22:21,indexed,noncore_indexed
find_member_by_nick.js,find_member_by_nick.js,.js,7374,2026-01-09 06:22:21,indexed,noncore_indexed
find_send_method.js,find_send_method.js,.js,7950,2026-01-08 09:04:02,indexed,noncore_indexed
find_vue_send.js,find_vue_send.js,.js,9309,2026-01-08 09:09:03,indexed,noncore_indexed
fix_custom_msg_and_reply.js,fix_custom_msg_and_reply.js,.js,7887,2026-01-09 06:54:27,indexed,noncore_indexed
fix_p2p_and_test.js,fix_p2p_and_test.js,.js,8188,2026-01-09 06:54:27,deleted,deleted_test_files
fix_unmute.js,fix_unmute.js,.js,1371,2026-01-08 09:52:46,indexed,noncore_indexed
force_kick_82840376.js,force_kick_82840376.js,.js,2687,2026-01-09 03:55:10,indexed,noncore_indexed
force_refresh.js,force_refresh.js,.js,6898,2026-01-08 09:09:03,indexed,noncore_indexed
full_api_test_with_db.js,full_api_test_with_db.js,.js,31063,2026-01-09 04:50:50,deleted,deleted_test_files
get_current_view_members.js,get_current_view_members.js,.js,10807,2026-01-09 03:55:10,indexed,noncore_indexed
get_file_ops.ps1,get_file_ops.ps1,.ps1,3744,2026-01-08 02:52:28,indexed,noncore_indexed
get_name_account_mapping.js,get_name_account_mapping.js,.js,14847,2026-01-08 07:12:09,indexed,noncore_indexed
get_teams.js,get_teams.js,.js,7774,2026-01-08 08:03:12,indexed,noncore_indexed
get_vue_store.js,get_vue_store.js,.js,6580,2026-01-08 08:31:57,indexed,noncore_indexed
get_wsl_members.js,get_wsl_members.js,.js,7297,2026-01-08 08:31:57,indexed,noncore_indexed
GROUP_MANAGEMENT_GUIDE.md,GROUP_MANAGEMENT_GUIDE.md,.md,7948,2026-01-10 11:02:25,indexed,noncore_indexed
group_settings_full_test.json,group_settings_full_test.json,.json,2621,2026-01-08 09:39:38,deleted,deleted_test_files
group_settings_test_report.json,group_settings_test_report.json,.json,4666,2026-01-08 09:31:42,deleted,deleted_test_files
HANDSHAKE_PROTOCOL_ANALYSIS.md,HANDSHAKE_PROTOCOL_ANALYSIS.md,.md,4893,2026-01-11 09:17:05,indexed,noncore_indexed
hook_before_send.js,hook_before_send.js,.js,7784,2026-01-09 07:13:49,indexed,noncore_indexed
inject_test.js,inject_test.js,.js,3385,2026-01-11 10:18:52,deleted,deleted_test_files
intercept_encrypt.js,intercept_encrypt.js,.js,8097,2026-01-09 07:20:10,indexed,noncore_indexed
kick_logo_final.js,kick_logo_final.js,.js,7210,2026-01-09 03:55:10,indexed,noncore_indexed
kick_logo_from_3962369093.js,kick_logo_from_3962369093.js,.js,5791,2026-01-09 02:47:03,indexed,noncore_indexed
libs/HP-Socket/.git/config,libs,<noext>,300,2026-01-11 10:38:07,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/description,libs,<noext>,73,2026-01-11 10:37:54,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/HEAD,libs,<noext>,20,2026-01-11 10:38:07,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/hooks/applypatch-msg.sample,libs,.sample,478,2026-01-11 10:37:54,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/hooks/commit-msg.sample,libs,.sample,896,2026-01-11 10:37:54,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/hooks/fsmonitor-watchman.sample,libs,.sample,4726,2026-01-11 10:37:54,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/hooks/post-update.sample,libs,.sample,189,2026-01-11 10:37:54,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/hooks/pre-applypatch.sample,libs,.sample,424,2026-01-11 10:37:54,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/hooks/pre-commit.sample,libs,.sample,1649,2026-01-11 10:37:54,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/hooks/pre-merge-commit.sample,libs,.sample,416,2026-01-11 10:37:54,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/hooks/pre-push.sample,libs,.sample,1374,2026-01-11 10:37:54,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/hooks/pre-rebase.sample,libs,.sample,4898,2026-01-11 10:37:54,skip(third_party),HP-Socket third party
